date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
1996288,-66.8432,77.1702,1,0,0,0,-66.8716,76.9675,1,0,0,0,0,0
1996289,-66.8432,77.1702,1,0,0,0,-66.8716,76.9675,1,0,0,0,0,0
1996290,-66.8432,77.1702,1,0,0,0,-66.8716,76.9675,1,0,0,0,0,0
1996291,-66.8432,77.1702,1,0,0,0,-66.8716,76.9675,1,0,0,0,0,0
1996292,-66.8432,77.1702,1,0,0,0,-66.8605,76.9512,1,0,0,0,0,0
1996293,-66.8432,77.1702,1,0,0,0,-66.8383,76.9187,1,0,0,0,0,0
1996294,-66.8432,77.1702,1,0,0,0,-66.8162,76.8862,1,0,0,0,0,0
1996295,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996296,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996297,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996298,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996299,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996300,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996301,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996302,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996303,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996304,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996305,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996306,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996307,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996308,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996309,-66.8432,77.1702,1,0,0,0,-66.8051,76.8699,1,0,0,0,0,0
1996310,-66.8432,77.1702,1,0,0,0,-66.808,76.8702,1,0,0,0,0,0
1996311,-66.8432,77.1702,1,0,0,0,-66.8137,76.8709,1,0,0,0,0,0
1996312,-66.8432,77.1702,1,0,0,0,-66.8194,76.8716,1,0,0,0,0,0
1996313,-66.8432,77.1702,1,0,0,0,-66.8223,76.8719,1,0,0,0,0,0
1996314,-66.8432,77.1702,1,0,0,0,-66.8223,76.8719,1,0,0,0,0,0
1996315,-66.8432,77.1702,1,0,0,0,-66.8223,76.8719,1,0,0,0,0,0
1996316,-66.8432,77.1702,1,0,0,0,-66.8223,76.8719,1,0,0,0,0,0
1996317,-66.8413,77.0935,1,0,0,0,-66.8223,76.8719,1,0,0,0,0,0
1996318,-66.8375,76.9402,1,0,0,0,-66.8223,76.8719,1,0,0,0,0,0
