date,nic_1,nic_2,nic_3,size_1,size_2
2010110,-68.1655,155.1155,0,0,0
2010111,-68.1592,155.1011,0,0,0
2010112,-68.1529,155.0867,0,0,0
2010113,-68.1462,155.071,0,0,0
2010114,-68.1387,155.0526,0,0,0
2010115,-68.13,155.03,1,10,2
2010116,-68.1178,154.9942,0,0,0
2010117,-68.1015,154.9421,0,0,0
2010118,-68.0832,154.8813,0,0,0
2010119,-68.0649,154.8191,0,0,0
2010120,-68.0486,154.7632,0,0,0
2010121,-68.0363,154.721,0,0,0
2010122,-68.03,154.7,1,10,2
2010123,-68.0278,154.6926,0,0,0
2010124,-68.0263,154.686,0,0,0
2010125,-68.0252,154.6805,0,0,0
2010126,-68.0243,154.676,0,0,0
2010127,-68.0233,154.6727,0,0,0
2010128,-68.0219,154.6707,0,0,0
2010129,-68.02,154.67,1,10,2
2010130,-68.0173,154.6731,0,0,0
2010131,-68.0137,154.6818,0,0,0
2010132,-68.0091,154.6953,0,0,0
2010133,-68.0035,154.7127,0,0,0
2010134,-67.9968,154.7332,0,0,0
2010135,-67.989,154.7559,0,0,0
2010136,-67.98,154.78,1,10,2
2010137,-67.9646,154.8196,0,0,0
2010138,-67.9395,154.8823,0,0,0
2010139,-67.9077,154.9575,0,0,0
2010140,-67.8719,155.0345,0,0,0
2010141,-67.8351,155.1027,0,0,0
2010142,-67.8002,155.1514,0,0,0
2010143,-67.77,155.17,1,10,2
2010144,-67.7418,155.1235,0,0,0
2010145,-67.7119,155.001,0,0,0
2010146,-67.6821,154.8276,0,0,0
2010147,-67.6543,154.6286,0,0,0
2010148,-67.6302,154.4292,0,0,0
2010149,-67.6115,154.2546,0,0,0
2010150,-67.6,154.13,1,10,2
2010151,-67.5938,154.0397,0,0,0
2010152,-67.5892,153.9529,0,0,0
2010153,-67.5858,153.8724,0,0,0
2010154,-67.5828,153.8011,0,0,0
2010155,-67.5795,153.7417,0,0,0
2010156,-67.5755,153.6971,0,0,0
2010157,-67.57,153.67,1,10,2
2010158,-67.5628,153.6553,0,0,0
2010159,-67.5541,153.6449,0,0,0
2010160,-67.5436,153.6372,0,0,0
2010161,-67.5311,153.6305,0,0,0
2010162,-67.5164,153.6231,0,0,0
2010163,-67.4995,153.6135,0,0,0
2010164,-67.48,153.6,1,10,2
2010165,-67.4446,153.5778,0,0,0
2010166,-67.3867,153.5451,0,0,0
2010167,-67.3159,153.5045,0,0,0
2010168,-67.2421,153.459,0,0,0
2010169,-67.175,153.4112,0,0,0
