date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1996122,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996123,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996124,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996125,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996126,-67.17,147.23,1,-67.2,147,1,0,0,0,0,0,0,0,0,0,28,12
1996127,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996128,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996129,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996130,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996131,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996132,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996133,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996134,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996135,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996136,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996137,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996138,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996139,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996140,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996141,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996142,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996143,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996144,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996145,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996146,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996147,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996148,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996149,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996150,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996151,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996152,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996153,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996154,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
