ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3
-53.9158,-28.7807,1,2013217,-53.9158,-28.7807,1
-54.0057,-28.4787,0,2013218,-54.0057,-28.4787,0
-54.1304,-28.1839,1,2013219,-54.1304,-28.1839,1
-54.1846,-28.1087,1,2013220,-54.1846,-28.1087,1
-54.1247,-28.0365,1,2013221,-54.1247,-28.0365,1
-54.2591,-28.1,0,2013222,-54.2591,-28.1,0
-54.3934,-28.173,1,2013223,-54.3934,-28.173,1
-54.3865,-28.1851,1,2013224,-54.3865,-28.1851,1
-54.523,-28.2926,1,2013225,-54.523,-28.2926,1
-54.5418,-28.2918,1,2013226,-54.5418,-28.2918,1
-54.57,-28.2996,1,2013227,-54.57,-28.2996,1
-54.6146,-28.1943,1,2013228,-54.6146,-28.1943,1
-54.4769,-27.0155,1,2013229,-54.4769,-27.0155,1
-54.1153,-26.3492,1,2013230,-54.1153,-26.3492,1
-54.0529,-26.2976,1,2013231,-54.0529,-26.2976,1
-54.0456,-26.2915,1,2013232,-54.0456,-26.2915,1
-53.9947,-26.1667,0,2013233,-53.9947,-26.1667,0
-53.8857,-25.8764,1,2013234,-53.8857,-25.8764,1
