ascat_1,ascat_2,ascat_3,date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,1992061,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992062,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992063,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992064,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992065,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992066,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992067,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992068,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992069,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992070,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992071,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992072,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992073,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992074,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992075,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992076,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992077,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992078,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992079,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992080,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992081,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992082,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992083,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992084,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992085,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992086,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992087,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992088,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992089,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1992090,-76.79,-41.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
