Iceberg,Date,Latitude,Longitude
a35b,2000233,-66.40,-55.40
a80a,2023230,-66.47,-58.36
b09e,2011170,-66.48,142.96
c19e,2004070,-66.54,148.99
e11,1993277,-66.57,-161.49
a12,1980202,-66.60,-60.20
a80d,2023230,-66.63,-58.11
c18,2003327,-66.70,152.10
a41,2000317,-66.70,-59.60
a21,1986299,-66.70,-59.50
e12,1993211,-66.80,-179.69
d08,1995099,-66.90,47.20
a07,1979315,-67.00,-60.00
a43h,2001301,-67.10,-55.50
b10b,1997288,-67.11,167.65
e05,1992043,-67.20,79.47
a53,2005009,-67.22,-60.53
b07b,1992019,-67.30,-171.80
a19,1984162,-67.30,-58.70
c14,2003026,-67.30,147.40
a45,2001273,-67.40,-54.70
c03,1983023,-67.40,147.60
e02,1992345,-67.43,-148.13
b43,2020247,-67.53,165.29
a35c,2000233,-67.60,-58.10
a51,2002300,-67.60,-60.90
c14b,2002130,-67.60,147.20
b35,2017351,-67.69,-96.24
e18,1999352,-67.75,-166.93
a68,2017225,-67.75,-60.69
d06,1980132,-67.80,78.70
d09,1995064,-67.80,70.10
c36,2021055,-67.87,147.68
c17,2002130,-67.97,153.62
e03,92331,-67.99,-174.53
a44,2001329,-68.20,-56.50
b41,2020355,-68.44,-179.62
d20b,2017150,-68.45,35.79
a36,1998280,-68.49,-59.89
a71,2021167,-68.54,-59.99
a73,2021064,-68.71,-59.99
a27,2011296,-68.77,-57.55
d14,2012027,-68.90,74.94
b03,1983254,-68.90,-177.80
b13,1997349,-68.93,-159.65
a69,2020185,-68.95,-60.70
c19,2003201,-68.99,160.83
b18,2001007,-69.00,158.80
b15e,2001015,-69.02,158.61
d10,1996063,-69.10,75.00
d20,2013175,-69.16,36.39
a72,2021057,-69.16,-60.68
d26,2023118,-69.19,29.44
d23,2018323,-69.21,74.37
a37,1998214,-69.60,-60.80
a59,2010122,-69.73,-73.45
b22b,2005271,-69.94,-166.29
a58,2008321,-70.05,-72.68
c22,2005261,-70.12,167.52
a60,2010024,-70.27,-72.97
b12,1997279,-70.32,-155.94
a75,2021166,-70.37,-60.27
a11,1980139,-70.50,-44.30
a74b,2023230,-70.59,-55.14
c23,2005296,-70.60,171.18
a77,2021239,-70.99,-14.03
a79,2022147,-71.02,-60.46
b09,1989211,-71.30,-170.90
b05,1983170,-71.30,-97.80
a57,2015365,-71.32,-58.15
b10,1995029,-71.40,-117.50
a80b,2022336,-71.43,-60.33
a80c,2022350,-71.52,-60.34
e01,1992076,-71.58,-110.28
b11,1995340,-71.62,-120.01
b22a,2023223,-71.69,-113.42
b07,1987172,-71.80,-113.30
b22c,2003124,-72.00,-113.80
b37,2022014,-72.00,-115.56
c25,2007030,-72.20,171.67
a34,1996245,-72.20,-16.90
a14,1980349,-72.30,-36.00
b21a,2010045,-72.38,-112.35
b05a,1990021,-72.50,-111.90
b08,1990168,-72.70,-119.80
b45,2023230,-72.81,-111.00
e10,1998022,-72.92,-176.47
a30,1991132,-73.00,-35.40
b15c,2002005,-73.10,-179.30
b17,2000357,-73.31,-179.50
b32,2014311,-73.40,-131.88
a74a,2023230,-73.43,-55.68
b48,2020059,-73.50,-114.48
b47,2020346,-73.54,-134.16
b29,2023069,-73.69,-110.48
b22e,2003250,-73.70,-138.40
a13,1980349,-73.80,-38.50
c13,1997110,-74.03,168.48
b28,2022343,-74.05,-110.12
b22d,2002174,-74.10,-106.80
b49,2020263,-74.15,-106.31
e14,1998181,-74.21,177.19
b21b,2002055,-74.38,-104.57
b23,2003033,-74.40,-109.00
b21,2001329,-74.40,-103.60
b33,2015143,-74.45,-103.48
b24,2003131,-74.50,-109.30
b36,2015275,-74.62,-104.70
b25,2003040,-74.70,-109.30
b44,2017287,-74.93,-100.97
b07a,1991216,-75.10,-157.80
a76,2021142,-75.16,-59.05
a74,2021218,-75.19,-26.84
a67,2016001,-75.32,-26.90
a27a,2004228,-75.40,-42.50
a81,2023027,-75.66,-27.16
a42,2001252,-76.10,-49.10
a23,1990035,-76.20,-41.00
a22,1990035,-76.50,-42.50
b38,2023104,-76.77,-155.10
b20,2000268,-77.00,170.70
a38,1998284,-77.10,-49.70
a40a,2000312,-77.14,-48.79
a40,1999122,-77.30,-50.10
b15,2000093,-77.95,-170.85
b26,2004074,-78.40,-165.30
