a38b,-53.989,-35.702,79.13
c21a,-67.630,41.687,79.05
c19d,-65.428,138.163,78.56
a61,-72.419,-16.834,78.52
b15k,-67.697,-60.672,78.40
a65,-52.388,-35.393,78.40
a62a,-54.546,-27.605,77.56
b09h,-64.351,-46.194,76.44
b09h,-65.005,-46.684,76.27
d20a,-68.918,35.826,75.90
a34a,-56.692,-32.718,75.70
a43a,-56.692,-32.718,75.70
a57a,-69.416,-59.085,75.67
a22a,-50.145,-31.746,75.61
b09f,-69.669,-1.217,75.56
b19,-62.562,176.096,75.45
b27,-54.409,-133.111,75.41
c21a,-69.746,21.530,75.37
d15a,-66.768,81.183,75.19
d15a,-66.768,81.183,75.19
d15a,-66.768,81.183,75.19
d15a,-66.768,81.183,75.19
a48,-64.157,-55.182,74.83
a48,-55.019,-36.510,74.71
b09h,-65.782,-46.959,74.71
c19c,-55.996,-39.384,74.11
b17b,-67.481,151.444,73.98
b15a,-51.934,-149.747,73.97
a61,-61.782,-30.403,73.92
c28a,-56.542,84.862,73.71
c28a,-57.684,86.006,73.70
a43k,-52.937,-25.633,73.62
a76d,-53.390,-39.475,73.54
a61,-62.342,-31.162,73.53
b41,-72.793,-119.714,72.88
a56,-69.540,-58.354,72.47
b15x,-54.884,-37.248,72.33
b16,-62.641,-44.403,72.28
a76d,-53.470,-39.470,72.22
c28a,-55.938,85.031,72.12
a76d,-53.550,-39.440,72.06
c28a,-57.673,86.565,71.99
b15r,-57.406,-24.360,71.70
a56,-69.990,-57.006,71.67
c32,-69.499,159.402,71.43
c10,-69.327,28.258,71.36
a22a,-49.888,-31.126,71.24
b19,-65.917,160.298,70.92
b16,-56.183,-30.679,70.88
a38e,-52.365,-25.741,70.65
c10,-68.969,29.738,70.40
a47,-59.402,-52.739,70.27
c19a,-67.337,151.467,69.88
b15d,-55.721,-38.005,69.67
c10,-67.003,75.390,69.59
a48,-59.710,-45.100,69.30
a56,-51.297,-31.638,69.26
c19c,-56.035,-38.234,69.16
d11,-54.333,-31.903,69.14
c28b,-61.356,-53.593,68.60
b17a,-53.381,-35.906,68.31
a56,-51.306,-30.652,67.85
a76d,-53.178,-38.473,67.79
a22a,-48.609,-29.728,67.78
b09f,-61.532,-54.261,67.75
b09f,-61.532,-54.261,67.75
a48,-57.724,-39.088,67.68
c28b,-57.982,-40.154,67.64
a43j,-57.164,-46.820,67.61
a56,-60.274,-53.398,67.57
c08,-64.418,95.205,67.41
c19c,-55.960,-40.520,67.41
c28a,-56.588,86.357,67.40
a57a,-48.217,-39.067,67.32
a76d,-53.602,-40.477,67.19
b41,-73.578,-136.274,67.17
d21a,-57.912,-24.173,67.13
a43j,-59.948,-51.129,67.07
c12,-64.909,96.629,66.75
b17a,-53.176,-35.911,66.66
b17a,-53.486,-35.749,66.65
a65,-52.440,-35.115,66.51
d15b,-66.694,81.728,66.50
d15b,-66.694,81.728,66.50
a43i,-56.857,-36.143,66.49
a76d,-53.356,-38.441,66.46
a76d,-53.403,-38.424,66.36
a56,-57.988,-41.381,66.31
a76d,-53.584,-40.499,66.11
b15e,-73.553,174.316,66.10
c28a,-59.538,87.489,66.03
a76d,-53.697,-40.456,65.93
b09d,-74.096,-28.012,65.83
a65,-52.109,-35.274,65.74
a65,-52.693,-35.425,65.73
b09d,-74.105,-28.041,65.42
c19d,-55.213,-47.379,65.36
d15b,-66.698,81.677,65.07
c19c,-45.290,-5.481,64.85
b09h,-65.822,-47.026,64.84
b15x,-55.107,-36.354,64.81
b15i,-66.685,151.512,64.80
b27,-57.502,-139.093,64.73
d15b,-66.702,81.725,64.66
d15b,-66.702,81.725,64.66
b19,-66.173,160.227,64.53
a48,-57.433,-41.379,64.47
c21b,-64.715,95.860,64.28
c19d,-65.724,145.658,63.90
a38f,-51.348,-22.436,63.88
a76f,-53.650,-35.175,63.85
a47,-54.871,-48.268,63.81
a38c,-52.094,-41.179,63.64
a22a,-50.002,-33.529,63.63
c20,-50.480,97.020,63.47
b09f,-74.524,-26.794,63.44
c28a,-60.667,86.477,63.41
b31a,-57.784,-63.082,63.06
a34a,-53.734,-26.453,63.02
a43a,-53.734,-26.453,63.02
c28a,-56.441,85.162,62.97
b09h,-69.580,19.012,62.87
b15t,-57.142,-30.241,62.75
d15a,-66.713,80.942,62.74
c18b,-65.466,141.204,62.72
d21a,-58.385,-23.328,62.61
b14,-62.139,-166.186,62.53
a22a,-49.496,-37.476,62.41
b15k,-48.799,-35.323,62.18
c08,-65.659,146.808,62.14
b09f,-61.511,-54.158,62.12
c12,-64.902,96.681,62.11
b15t,-69.764,1.111,62.10
c28a,-58.810,88.140,62.00
b15k,-48.605,-34.531,61.93
b41,-72.505,-115.189,61.65
b15j,-53.971,-147.484,61.60
b14,-61.655,-162.473,61.39
a76a,-55.669,-35.958,61.38
d26,-69.952,22.670,61.36
c19a,-60.015,-99.799,61.34
a38c,-57.660,-47.110,61.30
a38d,-58.097,-39.689,61.28
b15j,-53.639,-145.703,61.25
a22a,-50.156,-32.696,61.22
a56,-51.286,-32.576,61.20
b15d,-69.747,-2.218,61.17
a52,-58.287,-49.109,61.16
