date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,size_1,size_2
1994260,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994261,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994262,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994263,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994264,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994265,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994266,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994267,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994268,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994269,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994270,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994271,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994272,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994273,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994274,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994275,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994276,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994277,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994278,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994279,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994280,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994281,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994282,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994283,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994284,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994285,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994286,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994287,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994288,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994289,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994290,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994291,-65.7456,88.0829,1,0,0,0,0,0,0,0,0
1994292,-65.7533,88.0332,1,0,0,0,0,0,0,0,0
1994293,-65.7687,87.9339,1,0,0,0,0,0,0,0,0
1994294,-65.7842,87.8346,1,0,0,0,0,0,0,0,0
1994295,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994296,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994297,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994298,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994299,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994300,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994301,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994302,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994303,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994304,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994305,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994306,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994307,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994308,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994309,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994310,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994311,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994312,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994313,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994314,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994315,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994316,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994317,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994318,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994319,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994320,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994321,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994322,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994323,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994324,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994325,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994326,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994327,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994328,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994329,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994330,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994331,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994332,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994333,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994334,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994335,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994336,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994337,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994338,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994339,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994340,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994341,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994342,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994343,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994344,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994345,-65.7919,87.785,1,0,0,0,0,0,0,0,0
1994346,-65.7919,87.785,1,0,0,0,0,0,0,0,0
