ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3
-74.0307,-44.7027,1,2012084,-74.0307,-44.7027,1
-74.0046,-44.6595,1,2012085,-74.0046,-44.6595,1
-73.9107,-44.53,1,2012086,-73.9107,-44.53,1
-73.9222,-44.5701,1,2012087,-73.9222,-44.5701,1
-73.9969,-44.6313,1,2012088,-73.9969,-44.6313,1
-73.9468,-44.7098,1,2012089,-73.9468,-44.7098,1
-73.8161,-44.8058,1,2012090,-73.8161,-44.8058,1
-73.7528,-44.6816,1,2012091,-73.7528,-44.6816,1
-73.626,-44.6395,1,2012092,-73.626,-44.6395,1
-73.5906,-44.6657,1,2012093,-73.5906,-44.6657,1
-73.5749,-44.7107,1,2012094,-73.5749,-44.7107,1
-73.5679,-44.7359,1,2012095,-73.5679,-44.7359,1
-73.5005,-44.751,1,2012096,-73.5005,-44.751,1
-73.4847,-44.6953,1,2012097,-73.4847,-44.6953,1
-73.4896,-44.7121,1,2012098,-73.4896,-44.7121,1
-73.4248,-44.9854,1,2012099,-73.4248,-44.9854,1
-73.3932,-44.9736,1,2012100,-73.3932,-44.9736,1
-73.2831,-45.0371,1,2012101,-73.2831,-45.0371,1
-73.2206,-44.7709,1,2012102,-73.2206,-44.7709,1
-73.266,-44.7791,1,2012103,-73.266,-44.7791,1
-73.2787,-45.0212,1,2012104,-73.2787,-45.0212,1
-73.2056,-45.2617,1,2012105,-73.2056,-45.2617,1
-73.0773,-45.308,1,2012106,-73.0773,-45.308,1
-73.0696,-45.3784,1,2012107,-73.0696,-45.3784,1
-73.066,-45.563,1,2012108,-73.066,-45.563,1
-73.0292,-45.8786,1,2012109,-73.0292,-45.8786,1
-72.9516,-45.9007,1,2012110,-72.9516,-45.9007,1
-72.8833,-45.8082,1,2012111,-72.8833,-45.8082,1
-72.8066,-45.639,1,2012112,-72.8066,-45.639,1
-72.7726,-45.6674,1,2012113,-72.7726,-45.6674,1
-72.7254,-45.6015,1,2012114,-72.7254,-45.6015,1
-72.7609,-45.675,1,2012115,-72.7609,-45.675,1
-72.7038,-45.6726,1,2012116,-72.7038,-45.6726,1
-72.734,-45.6791,1,2012117,-72.734,-45.6791,1
-72.6773,-45.5812,1,2012118,-72.6773,-45.5812,1
-72.6194,-45.8654,1,2012119,-72.6194,-45.8654,1
-72.6115,-45.6923,1,2012120,-72.6115,-45.6923,1
-72.5766,-45.9104,1,2012121,-72.5766,-45.9104,1
-72.5168,-45.6568,1,2012122,-72.5168,-45.6568,1
-72.5395,-45.7821,1,2012123,-72.5395,-45.7821,1
-72.526,-45.9289,1,2012124,-72.526,-45.9289,1
-72.4341,-46.4786,1,2012125,-72.4341,-46.4786,1
-72.3099,-46.2872,1,2012126,-72.3099,-46.2872,1
