ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3
0,0,0,2007202,0,0,0,-65.3826,116.293,1
0,0,0,2007203,0,0,0,-65.3826,116.293,1
0,0,0,2007204,0,0,0,-65.3826,116.293,1
0,0,0,2007205,0,0,0,-65.3826,116.293,1
0,0,0,2007206,0,0,0,-65.3826,116.293,1
0,0,0,2007207,0,0,0,-65.3826,116.293,1
0,0,0,2007208,0,0,0,-65.3826,116.293,1
0,0,0,2007209,0,0,0,-65.3826,116.293,1
0,0,0,2007210,0,0,0,-65.3826,116.293,1
0,0,0,2007211,0,0,0,-65.3826,116.293,1
0,0,0,2007212,0,0,0,-65.3826,116.293,1
0,0,0,2007213,0,0,0,-65.3826,116.293,1
0,0,0,2007214,0,0,0,-65.3826,116.293,1
0,0,0,2007215,0,0,0,-65.3826,116.293,1
0,0,0,2007216,0,0,0,-65.3826,116.293,1
0,0,0,2007217,0,0,0,-65.3826,116.293,1
0,0,0,2007218,0,0,0,-65.3826,116.293,1
0,0,0,2007219,0,0,0,-65.3826,116.293,1
0,0,0,2007220,0,0,0,-65.3826,116.293,1
0,0,0,2007221,0,0,0,-65.3826,116.293,1
0,0,0,2007222,0,0,0,-65.3826,116.293,1
0,0,0,2007223,0,0,0,-65.3826,116.293,1
0,0,0,2007224,0,0,0,-65.3826,116.293,1
0,0,0,2007225,0,0,0,-65.3826,116.293,1
0,0,0,2007226,0,0,0,-65.3826,116.293,1
0,0,0,2007227,0,0,0,-65.3826,116.293,1
0,0,0,2007228,0,0,0,-65.3826,116.293,1
0,0,0,2007229,0,0,0,-65.3826,116.293,1
0,0,0,2007230,0,0,0,-65.3826,116.293,1
0,0,0,2007231,0,0,0,-65.3826,116.293,1
0,0,0,2007232,0,0,0,-65.3826,116.293,1
0,0,0,2007233,0,0,0,-65.3826,116.293,1
0,0,0,2007234,0,0,0,-65.3826,116.293,1
0,0,0,2007235,0,0,0,-65.3826,116.293,1
0,0,0,2007236,0,0,0,-65.3826,116.293,1
0,0,0,2007237,0,0,0,-65.3826,116.293,1
0,0,0,2007238,0,0,0,-65.3826,116.293,1
0,0,0,2007239,0,0,0,-65.3826,116.293,1
0,0,0,2007240,0,0,0,-65.3826,116.293,1
0,0,0,2007241,0,0,0,-65.3826,116.293,1
0,0,0,2007242,0,0,0,-65.3826,116.293,1
0,0,0,2007243,0,0,0,-65.3826,116.293,1
0,0,0,2007244,0,0,0,-65.3826,116.293,1
0,0,0,2007245,0,0,0,-65.3826,116.293,1
0,0,0,2007246,0,0,0,-65.3826,116.293,1
0,0,0,2007247,0,0,0,-65.3826,116.293,1
