date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1999004,-75.6064,-52.8713,1,0,0,0,0,0,0,0,0,0,0,0
1999005,-75.6064,-52.8713,1,0,0,0,0,0,0,0,0,0,0,0
1999006,-75.6064,-52.8713,1,0,0,0,0,0,0,0,0,0,0,0
1999007,-75.6064,-52.8713,1,0,0,0,0,0,0,0,0,0,0,0
1999008,-75.6064,-52.8713,1,0,0,0,0,0,0,0,0,0,0,0
1999009,-75.6064,-52.8713,1,0,0,0,0,0,0,0,0,0,0,0
1999010,-75.6064,-52.8713,1,0,0,0,0,0,0,0,0,0,0,0
1999011,-75.6064,-52.8713,1,0,0,0,0,0,0,0,0,0,0,0
1999012,-75.6064,-52.8713,1,0,0,0,0,0,0,0,0,0,0,0
1999013,-75.6064,-52.8713,1,0,0,0,0,0,0,0,0,0,0,0
1999014,-75.6064,-52.8713,1,0,0,0,0,0,0,0,0,0,0,0
1999015,-75.6064,-52.8713,1,0,0,0,0,0,0,0,0,0,0,0
1999016,-75.6049,-52.9436,1,0,0,0,0,0,0,0,0,0,0,0
1999017,-75.6019,-53.0881,1,0,0,0,0,0,0,0,0,0,0,0
1999018,-75.599,-53.2327,1,0,0,0,0,0,0,0,0,0,0,0
1999019,-75.5975,-53.305,1,0,0,0,0,0,0,0,0,0,0,0
1999020,-75.5975,-53.305,1,0,0,0,0,0,0,0,0,0,0,0
1999021,-75.5975,-53.305,1,0,0,0,0,0,0,0,0,0,0,0
1999022,-75.5975,-53.305,1,0,0,0,0,0,0,0,0,0,0,0
1999023,-75.5975,-53.305,1,0,0,0,0,0,0,0,0,0,0,0
1999024,-75.5975,-53.305,1,-75.5,-53.6,1,0,0,0,0,0,0,42,25
1999025,-75.5975,-53.305,1,0,0,0,0,0,0,0,0,0,0,0
1999026,-75.5975,-53.305,1,0,0,0,0,0,0,0,0,0,0,0
1999027,-75.5975,-53.305,1,0,0,0,0,0,0,0,0,0,0,0
1999028,-75.5975,-53.305,1,0,0,0,0,0,0,0,0,0,0,0
1999029,-75.5975,-53.305,1,0,0,0,0,0,0,0,0,0,0,0
1999030,-75.5975,-53.305,1,0,0,0,0,0,0,0,0,0,0,0
1999031,-75.6138,-53.4517,1,0,0,0,0,0,0,0,0,0,0,0
1999032,-75.6463,-53.7451,1,0,0,0,0,0,0,0,0,0,0,0
1999033,-75.6789,-54.0386,1,0,0,0,0,0,0,0,0,0,0,0
1999034,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999035,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999036,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999037,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999038,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999039,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999040,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999041,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999042,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999043,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999044,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999045,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999046,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999047,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999048,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999049,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999050,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999051,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999052,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999053,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999054,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999055,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999056,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999057,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999058,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999059,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999060,-75.6952,-54.1853,1,0,0,0,0,0,0,0,0,0,0,0
1999061,-75.6976,-54.3288,1,0,0,0,0,0,0,0,0,0,0,0
1999062,-75.7023,-54.6157,1,0,0,0,0,0,0,0,0,0,0,0
1999063,-75.707,-54.9026,1,0,0,0,0,0,0,0,0,0,0,0
1999064,-75.7094,-55.0461,1,0,0,0,0,0,0,0,0,0,0,0
1999065,-75.7094,-55.0461,1,0,0,0,0,0,0,0,0,0,0,0
1999066,-75.7094,-55.0461,1,0,0,0,0,0,0,0,0,0,0,0
1999067,-75.7094,-55.0461,1,0,0,0,0,0,0,0,0,0,0,0
1999068,-75.7094,-55.0461,1,0,0,0,0,0,0,0,0,0,0,0
1999069,-75.7094,-55.0461,1,0,0,0,0,0,0,0,0,0,0,0
1999070,-75.6908,-55.1055,1,0,0,0,0,0,0,0,0,0,0,0
1999071,-75.6536,-55.2244,1,0,0,0,0,0,0,0,0,0,0,0
1999072,-75.6165,-55.3433,1,0,0,0,0,0,0,0,0,0,0,0
1999073,-75.5979,-55.4027,1,0,0,0,0,0,0,0,0,0,0,0
1999074,-75.5979,-55.4027,1,0,0,0,0,0,0,0,0,0,0,0
1999075,-75.5979,-55.4027,1,0,0,0,0,0,0,0,0,0,0,0
1999076,-75.5814,-55.4973,1,0,0,0,0,0,0,0,0,0,0,0
1999077,-75.5483,-55.6865,1,0,0,0,0,0,0,0,0,0,0,0
1999078,-75.5152,-55.8758,1,0,0,0,0,0,0,0,0,0,0,0
1999079,-75.4838,-56.0746,1,0,0,0,0,0,0,0,0,0,0,0
1999080,-75.4539,-56.2829,1,-74.9,-57.1,1,0,0,0,0,0,0,42,25
1999081,-75.424,-56.4913,1,0,0,0,0,0,0,0,0,0,0,0
1999082,-75.409,-56.5955,1,0,0,0,0,0,0,0,0,0,0,0
1999083,-75.409,-56.5955,1,0,0,0,0,0,0,0,0,0,0,0
1999084,-75.409,-56.5955,1,0,0,0,0,0,0,0,0,0,0,0
1999085,-75.3897,-56.637,1,0,0,0,0,0,0,0,0,0,0,0
1999086,-75.3512,-56.7199,1,0,0,0,0,0,0,0,0,0,0,0
1999087,-75.3127,-56.8029,1,0,0,0,0,0,0,0,0,0,0,0
1999088,-75.2934,-56.8444,1,0,0,0,0,0,0,0,0,0,0,0
1999089,-75.2934,-56.8444,1,0,0,0,0,0,0,0,0,0,0,0
1999090,-75.2934,-56.8444,1,0,0,0,0,0,0,0,0,0,0,0
1999091,-75.2555,-56.8462,1,0,0,0,0,0,0,0,0,0,0,0
1999092,-75.1796,-56.8499,1,0,0,0,0,0,0,0,0,0,0,0
1999093,-75.1037,-56.8537,1,0,0,0,0,0,0,0,0,0,0,0
1999094,-75.0228,-56.7932,1,0,0,0,0,0,0,0,0,0,0,0
1999095,-74.937,-56.6685,1,0,0,0,0,0,0,0,0,0,0,0
1999096,-74.8512,-56.5438,1,0,0,0,0,0,0,0,0,0,0,0
1999097,-74.7948,-56.5547,1,0,0,0,0,0,0,0,0,0,0,0
1999098,-74.7679,-56.7011,1,0,0,0,0,0,0,0,0,0,0,0
1999099,-74.7409,-56.8475,1,0,0,0,0,0,0,0,0,0,0,0
1999100,-74.6931,-57.0492,1,0,0,0,0,0,0,0,0,0,0,0
1999101,-74.6245,-57.3062,1,0,0,0,0,0,0,0,0,0,0,0
1999102,-74.556,-57.5631,1,0,0,0,0,0,0,0,0,0,0,0
1999103,-74.5217,-57.6916,1,0,0,0,0,0,0,0,0,0,0,0
1999104,-74.5217,-57.6916,1,0,0,0,0,0,0,0,0,0,0,0
1999105,-74.5217,-57.6916,1,0,0,0,0,0,0,0,0,0,0,0
1999106,-74.5049,-57.7679,1,0,0,0,0,0,0,0,0,0,0,0
1999107,-74.4712,-57.9204,1,0,0,0,0,0,0,0,0,0,0,0
1999108,-74.4375,-58.0729,1,-74.9,-55.3,1,0,0,0,0,0,0,42,25
1999109,-74.4125,-58.1824,1,0,0,0,0,0,0,0,0,0,0,0
1999110,-74.3962,-58.2488,1,0,0,0,0,0,0,0,0,0,0,0
1999111,-74.3798,-58.3151,1,0,0,0,0,0,0,0,0,0,0,0
1999112,-74.3716,-58.3483,1,0,0,0,0,0,0,0,0,0,0,0
1999113,-74.3716,-58.3483,1,0,0,0,0,0,0,0,0,0,0,0
1999114,-74.3716,-58.3483,1,0,0,0,0,0,0,0,0,0,0,0
1999115,-74.3716,-58.3483,1,0,0,0,0,0,0,0,0,0,0,0
1999116,-74.3716,-58.3483,1,0,0,0,0,0,0,0,0,0,0,0
1999117,-74.3716,-58.3483,1,0,0,0,0,0,0,0,0,0,0,0
1999118,-74.3716,-58.3483,1,0,0,0,0,0,0,0,0,0,0,0
1999119,-74.3716,-58.3483,1,0,0,0,0,0,0,0,0,0,0,0
1999120,-74.3716,-58.3483,1,0,0,0,0,0,0,0,0,0,0,0
1999121,-74.3262,-58.3851,1,0,0,0,0,0,0,0,0,0,0,0
1999122,-74.2354,-58.4586,1,-74,-58.8,1,0,0,0,0,0,0,42,25
1999123,-74.1446,-58.5321,1,-74,-58.8996,0,0,0,0,0,0,0,0,0
1999124,-74.0992,-58.5688,1,-74,-58.9893,0,0,0,0,0,0,0,0,0
1999125,-74.0992,-58.5688,1,-74,-59.0693,0,0,0,0,0,0,0,0,0
1999126,-74.0992,-58.5688,1,-74,-59.1401,0,0,0,0,0,0,0,0,0
1999127,-74.0992,-58.5688,1,-74,-59.2019,0,0,0,0,0,0,0,0,0
1999128,-74.0992,-58.5688,1,-74,-59.2551,0,0,0,0,0,0,0,0,0
1999129,-74.0992,-58.5688,1,-74,-59.3,1,0,0,0,0,0,0,42,25
1999130,-74.0992,-58.5688,1,-74.0111,-59.3411,0,0,0,0,0,0,0,0,0
1999131,-74.0992,-58.5688,1,-74.0397,-59.3813,0,0,0,0,0,0,0,0,0
1999132,-74.0992,-58.5688,1,-74.0787,-59.4187,0,0,0,0,0,0,0,0,0
1999133,-74.0992,-58.5688,1,-74.1213,-59.4513,0,0,0,0,0,0,0,0,0
1999134,-74.0992,-58.5688,1,-74.1603,-59.477,0,0,0,0,0,0,0,0,0
1999135,-74.0992,-58.5688,1,-74.1889,-59.4939,0,0,0,0,0,0,0,0,0
1999136,-74.0992,-58.5688,1,-74.2,-59.5,1,0,0,0,0,0,0,42,25
1999137,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999138,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999139,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999140,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999141,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999142,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999143,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999144,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999145,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999146,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999147,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999148,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999149,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999150,-74.0992,-58.5688,1,-73.85,-59.5,1,0,0,0,0,0,0,42,25
1999151,-74.0992,-58.5688,1,-73.8407,-59.5,0,0,0,0,0,0,0,0,0
1999152,-74.0992,-58.5688,1,-73.8332,-59.5,0,0,0,0,0,0,0,0,0
1999153,-74.0992,-58.5688,1,-73.8268,-59.5,0,0,0,0,0,0,0,0,0
1999154,-74.0992,-58.5688,1,-73.821,-59.5,0,0,0,0,0,0,0,0,0
1999155,-74.0992,-58.5688,1,-73.815,-59.5,0,0,0,0,0,0,0,0,0
1999156,-74.0992,-58.5688,1,-73.8082,-59.5,0,0,0,0,0,0,0,0,0
1999157,-74.0992,-58.5688,1,-73.8,-59.5,1,0,0,0,0,0,0,42,25
1999158,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999159,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999160,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999161,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999162,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999163,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999164,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999165,-74.0992,-58.5688,1,0,0,0,0,0,0,0,0,0,0,0
1999166,-74.0334,-58.6345,1,0,0,0,0,0,0,0,0,0,0,0
1999167,-73.9019,-58.766,1,0,0,0,0,0,0,0,0,0,0,0
1999168,-73.7704,-58.8974,1,0,0,0,0,0,0,0,0,0,0,0
1999169,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999170,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999171,-73.7046,-58.9631,1,-73.6,-58.4,1,0,0,0,0,0,0,42,25
1999172,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999173,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999174,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999175,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999176,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999177,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999178,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999179,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999180,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999181,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999182,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999183,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999184,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999185,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999186,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999187,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999188,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999189,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999190,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999191,-73.7046,-58.9631,1,0,0,0,0,0,0,0,0,0,0,0
1999192,-73.7046,-58.9631,1,-73.4,-59.5,1,0,0,0,0,0,0,42,25
1999193,-73.7046,-58.9631,1,-73.4,-59.4914,0,0,0,0,0,0,0,0,0
1999194,-73.7046,-58.9631,1,-73.4,-59.4686,0,0,0,0,0,0,0,0,0
1999195,-73.7046,-58.9631,1,-73.4,-59.4361,0,0,0,0,0,0,0,0,0
1999196,-73.6706,-58.9456,1,-73.4,-59.3985,0,0,0,0,0,0,0,0,0
1999197,-73.6026,-58.9106,1,-73.4,-59.3602,0,0,0,0,0,0,0,0,0
1999198,-73.5347,-58.8756,1,-73.4,-59.3259,0,0,0,0,0,0,0,0,0
1999199,-73.5007,-58.8581,1,-73.4,-59.3,1,0,0,0,0,0,0,42,25
1999200,-73.5007,-58.8581,1,0,0,0,0,0,0,0,0,0,0,0
1999201,-73.5007,-58.8581,1,0,0,0,0,0,0,0,0,0,0,0
1999202,-73.5007,-58.8581,1,0,0,0,-72.4945,-57.4189,1,0,0,0,0,0
1999203,-73.5007,-58.8581,1,0,0,0,-72.4729,-57.3066,1,0,0,0,0,0
1999204,-73.5007,-58.8581,1,0,0,0,-72.4729,-57.3066,1,0,0,0,0,0
1999205,-73.5007,-58.8581,1,0,0,0,-72.4729,-57.3066,1,0,0,0,0,0
1999206,-73.5007,-58.8581,1,0,0,0,-72.4391,-57.3784,1,0,0,0,0,0
1999207,-73.5007,-58.8581,1,0,0,0,-72.4391,-57.3784,1,0,0,0,0,0
1999208,-73.5007,-58.8581,1,0,0,0,-72.4052,-57.45,1,0,0,0,0,0
1999209,-73.5007,-58.8581,1,0,0,0,-72.4052,-57.45,1,0,0,0,0,0
1999210,-73.5007,-58.8581,1,0,0,0,-72.3714,-57.5213,1,0,0,0,0,0
1999211,-73.5007,-58.8581,1,0,0,0,-72.3375,-57.5923,1,0,0,0,0,0
1999212,-73.5007,-58.8581,1,0,0,0,-72.3036,-57.663,1,0,0,0,0,0
1999213,-73.5007,-58.8581,1,0,0,0,-72.2696,-57.7335,1,0,0,0,0,0
1999214,-73.5007,-58.8581,1,0,0,0,-72.2357,-57.8037,1,0,0,0,0,0
1999215,-73.5007,-58.8581,1,0,0,0,-72.2357,-57.8037,1,0,0,0,0,0
1999216,-73.5007,-58.8581,1,0,0,0,-72.2017,-57.8736,1,0,0,0,0,0
1999217,-73.5007,-58.8581,1,0,0,0,-72.2017,-57.8736,1,0,0,0,0,0
1999218,-73.5007,-58.8581,1,0,0,0,-72.1677,-57.9432,1,0,0,0,0,0
1999219,-73.5007,-58.8581,1,0,0,0,-72.1677,-57.9432,1,0,0,0,0,0
1999220,-73.456,-58.8154,1,-73,-59,1,-72.1677,-57.9432,1,0,0,0,42,25
1999221,-73.3665,-58.7299,1,-72.9845,-58.9741,0,-72.1677,-57.9432,1,0,0,0,0,0
1999222,-73.2769,-58.6444,1,-72.9697,-58.9398,0,-72.1337,-58.0126,1,0,0,0,0,0
1999223,-73.2322,-58.6017,1,-72.9555,-58.9015,0,-72.1337,-58.0126,1,0,0,0,0,0
1999224,-73.2322,-58.6017,1,-72.9416,-58.8639,0,-72.0996,-58.0817,1,0,0,0,0,0
1999225,-73.2322,-58.6017,1,-72.9279,-58.8314,0,-72.0996,-58.0817,1,0,0,0,0,0
1999226,-73.2322,-58.6017,1,-72.9141,-58.8086,0,-72.0444,-58.0401,1,0,0,0,0,0
1999227,-73.2322,-58.6017,1,-72.9,-58.8,1,-72.0444,-58.0401,1,0,0,0,42,25
1999228,-73.2322,-58.6017,1,-72.884,-58.8055,0,-72.0103,-58.1088,1,0,0,0,0,0
1999229,-73.2322,-58.6017,1,-72.8656,-58.8198,0,-72.0103,-58.1088,1,0,0,0,0,0
1999230,-73.2322,-58.6017,1,-72.8466,-58.8394,0,-72.0103,-58.1088,1,0,0,0,0,0
1999231,-73.2322,-58.6017,1,-72.8289,-58.8606,0,-71.9763,-58.1772,1,0,0,0,0,0
1999232,-73.2322,-58.6017,1,-72.814,-58.8802,0,-71.9551,-58.0673,1,0,0,0,0,0
1999233,-73.2322,-58.6017,1,-72.8038,-58.8945,0,-71.9551,-58.0673,1,0,0,0,0,0
1999234,-73.2322,-58.6017,1,-72.8,-58.9,1,-71.921,-58.1356,1,0,0,0,42,25
1999235,-73.2322,-58.6017,1,-72.8111,-58.8975,0,-71.887,-58.2036,1,0,0,0,0,0
1999236,-73.2322,-58.6017,1,-72.8397,-58.8902,0,-71.887,-58.2036,1,0,0,0,0,0
1999237,-73.2322,-58.6017,1,-72.8787,-58.8786,0,-71.8529,-58.2714,1,0,0,0,0,0
1999238,-73.1545,-58.5427,1,-72.9213,-58.8633,0,-71.7846,-58.4062,1,0,0,0,0,0
1999239,-72.999,-58.4248,1,-72.9603,-58.8448,0,-71.7163,-58.54,1,0,0,0,0,0
1999240,-72.8435,-58.3068,1,-72.9889,-58.8235,0,-71.6821,-58.6065,1,0,0,0,0,0
1999241,-72.7657,-58.2478,1,-73,-58.8,1,-71.627,-58.5642,1,0,0,0,42,25
1999242,-72.7657,-58.2478,1,-72.9605,-58.7488,0,-71.627,-58.5642,1,0,0,0,0,0
1999243,-72.7657,-58.2478,1,-72.8573,-58.6561,0,-71.5928,-58.6304,1,0,0,0,0,0
1999244,-72.7657,-58.2478,1,-72.7138,-58.5399,0,-71.5928,-58.6304,1,0,0,0,0,0
1999245,-72.7657,-58.2478,1,-72.5531,-58.4182,0,-71.5377,-58.5883,1,0,0,0,0,0
1999246,-72.7657,-58.2478,1,-72.3985,-58.309,0,-71.5377,-58.5883,1,0,0,0,0,0
1999247,-72.7277,-58.2749,1,-72.273,-58.2302,0,-71.4827,-58.5464,1,0,0,0,0,0
