ascat_1,ascat_2,ascat_3,date,qscat_1,qscat_2,qscat_3
-69.793,13.2441,1,2017286,0,0,0
-69.793,13.2441,1,2017287,0,0,0
-69.793,13.2441,1,2017288,0,0,0
-69.793,13.2441,1,2017289,0,0,0
-69.793,13.2441,1,2017291,0,0,0
-69.793,13.2441,1,2017292,0,0,0
-69.793,13.2441,1,2017293,0,0,0
-69.793,13.2441,1,2017294,0,0,0
-69.793,13.2441,1,2017295,0,0,0
-69.793,13.2441,1,2017296,0,0,0
-69.793,13.2441,1,2017297,0,0,0
-69.793,13.2441,1,2017298,0,0,0
-69.793,13.2441,1,2017299,0,0,0
-69.793,13.2441,1,2017300,0,0,0
-69.793,13.2441,1,2017301,0,0,0
-69.793,13.2441,1,2017302,0,0,0
-69.793,13.2441,1,2017303,0,0,0
-69.793,13.2441,1,2017304,0,0,0
-69.793,13.2441,1,2017305,0,0,0
-69.793,13.2441,1,2017306,0,0,0
-69.793,13.2441,1,2017307,0,0,0
-69.793,13.2441,1,2017308,0,0,0
-69.793,13.2441,1,2017310,0,0,0
-69.793,13.2441,1,2017311,0,0,0
-69.793,13.2441,1,2017312,0,0,0
-69.793,13.2441,1,2017313,0,0,0
-69.793,13.2441,1,2017314,0,0,0
-69.793,13.2441,1,2017315,0,0,0
-69.793,13.2441,1,2017318,0,0,0
-69.793,13.2441,1,2017319,0,0,0
-69.793,13.2441,1,2017320,0,0,0
-69.793,13.2441,1,2017321,0,0,0
-69.793,13.2441,1,2017322,0,0,0
-69.8129,13.0306,1,2017323,0,0,0
-69.8129,13.0306,1,2017324,0,0,0
-69.8129,13.0306,1,2017325,0,0,0
-69.8129,13.0306,1,2017326,0,0,0
-69.8129,13.0306,1,2017327,0,0,0
-69.8129,13.0306,1,2017328,0,0,0
-69.8129,13.0306,1,2017329,0,0,0
-69.8129,13.0306,1,2017330,0,0,0
-69.8129,13.0306,1,2017331,0,0,0
-69.8129,13.0306,1,2017332,0,0,0
-69.8129,13.0306,1,2017333,0,0,0
-69.8129,13.0306,1,2017334,0,0,0
-69.8129,13.0306,1,2017335,0,0,0
-69.8129,13.0306,1,2017336,0,0,0
-69.8129,13.0306,1,2017337,0,0,0
-69.8129,13.0306,1,2017338,0,0,0
-69.8129,13.0306,1,2017339,0,0,0
-69.8129,13.0306,1,2017340,0,0,0
-69.8129,13.0306,1,2017341,0,0,0
-69.8129,13.0306,1,2017342,0,0,0
-69.8129,13.0306,1,2017344,0,0,0
-69.8129,13.0306,1,2017345,0,0,0
-69.8129,13.0306,1,2017346,0,0,0
-69.8129,13.0306,1,2017347,0,0,0
-69.8129,13.0306,1,2017348,0,0,0
-69.8129,13.0306,1,2017349,0,0,0
-69.8129,13.0306,1,2017350,0,0,0
-69.7883,12.947,1,2017351,0,0,0
-69.7883,12.947,1,2017352,0,0,0
-69.7495,12.9212,1,2017353,0,0,0
-69.7107,12.8955,1,2017354,0,0,0
-69.7107,12.8955,1,2017355,0,0,0
-69.7107,12.8955,1,2017356,0,0,0
-69.7107,12.8955,1,2017357,0,0,0
-69.7107,12.8955,1,2017358,0,0,0
-69.6718,12.87,1,2017359,0,0,0
-69.6718,12.87,1,2017360,0,0,0
-69.6718,12.87,1,2017361,0,0,0
-69.6718,12.87,1,2017362,0,0,0
-69.633,12.8445,1,2017363,0,0,0
-69.633,12.8445,1,2017364,0,0,0
-69.5941,12.8191,1,2017365,0,0,0
-69.5941,12.8191,0,2018001,0,0,0
-69.5941,12.8191,1,2018002,0,0,0
-69.5941,12.8191,1,2018003,0,0,0
-69.5941,12.8191,1,2018004,0,0,0
-69.5941,12.8191,1,2018005,0,0,0
-69.5941,12.8191,1,2018006,0,0,0
-69.6958,12.8576,1,2018007,0,0,0
-69.6958,12.8576,1,2018008,0,0,0
-69.6958,12.8576,1,2018009,0,0,0
-69.6958,12.8576,1,2018010,0,0,0
-69.6958,12.8576,1,2018011,0,0,0
-69.6958,12.8576,1,2018012,0,0,0
-69.6958,12.8576,1,2018013,0,0,0
-69.6958,12.8576,1,2018014,0,0,0
-69.6958,12.8576,1,2018015,0,0,0
-69.6958,12.8576,1,2018016,0,0,0
-69.6958,12.8576,1,2018017,0,0,0
-69.6958,12.8576,1,2018018,0,0,0
-69.6958,12.8576,0,2018019,0,0,0
-69.6958,12.8576,1,2018020,0,0,0
-69.6958,12.8576,1,2018021,0,0,0
-69.6958,12.8576,1,2018022,0,0,0
-69.6958,12.8576,1,2018023,0,0,0
-69.6958,12.8576,1,2018024,0,0,0
-69.6958,12.8576,0,2018025,0,0,0
-69.6958,12.8576,1,2018026,0,0,0
-69.6958,12.8576,1,2018027,0,0,0
-69.6958,12.8576,1,2018028,0,0,0
-69.6958,12.8576,1,2018029,0,0,0
-69.6958,12.8576,1,2018030,0,0,0
-69.6958,12.8576,1,2018031,0,0,0
-69.6958,12.8576,1,2018032,0,0,0
-69.6977,12.4044,1,2018033,0,0,0
-69.6977,12.4044,1,2018034,0,0,0
-69.6971,12.5564,1,2018035,0,0,0
-69.728,12.6941,1,2018036,0,0,0
-69.728,12.6941,1,2018037,0,0,0
-69.728,12.6941,1,2018038,0,0,0
-69.728,12.6941,1,2018039,0,0,0
-69.6795,12.6399,1,2018040,0,0,0
-69.7062,12.5729,1,2018041,0,0,0
-69.7062,12.5729,1,2018042,0,0,0
-69.7062,12.5729,1,2018043,0,0,0
-69.7062,12.5729,0,2018044,0,0,0
-69.7062,12.5729,1,2018045,0,0,0
-69.7062,12.5729,1,2018046,0,0,0
-69.7062,12.5729,1,2018047,0,0,0
-69.7062,12.5729,1,2018048,0,0,0
-69.7062,12.5729,1,2018049,0,0,0
-69.7062,12.5729,1,2018050,0,0,0
-69.7062,12.5729,1,2018051,0,0,0
-69.7062,12.5729,1,2018052,0,0,0
-69.7062,12.5729,0,2018053,0,0,0
-69.7062,12.5729,1,2018054,0,0,0
-69.7062,12.5729,1,2018055,0,0,0
-69.7062,12.5729,1,2018056,0,0,0
-69.7062,12.5729,1,2018057,0,0,0
-69.7062,12.5729,1,2018058,0,0,0
-69.7062,12.5729,1,2018059,0,0,0
-69.7062,12.5729,0,2018060,0,0,0
-69.7062,12.5729,1,2018061,0,0,0
-69.7062,12.5729,1,2018062,0,0,0
-69.7062,12.5729,1,2018063,0,0,0
-69.7062,12.5729,1,2018064,0,0,0
-69.7062,12.5729,1,2018065,0,0,0
-69.7062,12.5729,1,2018066,0,0,0
-69.7062,12.5729,1,2018067,0,0,0
-69.7062,12.5729,1,2018068,0,0,0
-69.7062,12.5729,1,2018069,0,0,0
-69.7062,12.5729,1,2018070,0,0,0
-69.7062,12.5729,1,2018071,0,0,0
-69.7062,12.5729,1,2018072,0,0,0
-69.7062,12.5729,1,2018073,0,0,0
-69.7062,12.5729,1,2018074,0,0,0
-69.7062,12.5729,1,2018075,0,0,0
-69.7062,12.5729,1,2018076,0,0,0
-69.7062,12.5729,1,2018077,0,0,0
-69.7062,12.5729,1,2018078,0,0,0
-69.7062,12.5729,1,2018079,0,0,0
-69.7062,12.5729,1,2018080,0,0,0
-69.7062,12.5729,1,2018081,0,0,0
-69.7062,12.5729,1,2018082,0,0,0
-69.7062,12.5729,1,2018083,0,0,0
-69.7062,12.5729,1,2018084,0,0,0
-69.7062,12.5729,1,2018085,0,0,0
-69.7062,12.5729,1,2018086,0,0,0
-69.7062,12.5729,1,2018087,0,0,0
-69.7062,12.5729,1,2018088,0,0,0
-69.7062,12.5729,1,2018089,0,0,0
-69.7062,12.5729,1,2018090,0,0,0
-69.7062,12.5729,1,2018091,0,0,0
-69.7233,12.5189,1,2018092,0,0,0
-69.7233,12.5189,1,2018093,0,0,0
-69.7233,12.5189,1,2018094,0,0,0
-69.7233,12.5189,1,2018095,0,0,0
-69.7233,12.5189,1,2018096,0,0,0
-69.7233,12.5189,1,2018097,0,0,0
-69.7233,12.5189,1,2018098,0,0,0
-69.7233,12.5189,1,2018099,0,0,0
-69.7233,12.5189,1,2018100,0,0,0
-69.7233,12.5189,1,2018101,0,0,0
-69.7233,12.5189,1,2018102,0,0,0
-69.7233,12.5189,1,2018103,0,0,0
-69.7233,12.5189,1,2018104,0,0,0
-69.7233,12.5189,1,2018105,0,0,0
-69.7319,12.4066,1,2018106,0,0,0
-69.7319,12.4066,1,2018107,0,0,0
-69.7319,12.4066,1,2018108,0,0,0
-69.7319,12.4066,1,2018109,0,0,0
-69.7319,12.4066,1,2018110,0,0,0
-69.7319,12.4066,1,2018111,0,0,0
-69.7319,12.4066,1,2018112,0,0,0
-69.7319,12.4066,1,2018113,0,0,0
-69.7319,12.4066,1,2018114,0,0,0
-69.7319,12.4066,1,2018115,0,0,0
-69.7319,12.4066,1,2018116,0,0,0
-69.7319,12.4066,1,2018117,0,0,0
-69.7319,12.4066,1,2018118,0,0,0
-69.7319,12.4066,0,2018119,0,0,0
-69.7319,12.4066,1,2018120,0,0,0
-69.7319,12.4066,1,2018121,0,0,0
-69.7319,12.4066,1,2018122,0,0,0
-69.7319,12.4066,1,2018123,0,0,0
-69.7319,12.4066,1,2018124,0,0,0
-69.7319,12.4066,1,2018125,0,0,0
-69.7319,12.4066,1,2018126,0,0,0
-69.7319,12.4066,1,2018127,0,0,0
-69.7319,12.4066,1,2018128,0,0,0
-69.7319,12.4066,1,2018129,0,0,0
-69.7319,12.4066,1,2018130,0,0,0
-69.7319,12.4066,1,2018131,0,0,0
-69.7319,12.4066,1,2018132,0,0,0
-69.7319,12.4066,1,2018133,0,0,0
-69.7319,12.4066,1,2018134,0,0,0
-69.7319,12.4066,1,2018135,0,0,0
-69.7319,12.4066,1,2018136,0,0,0
-69.7319,12.4066,1,2018137,0,0,0
-69.7319,12.4066,1,2018138,0,0,0
-69.7319,12.4066,1,2018139,0,0,0
-69.7319,12.4066,1,2018140,0,0,0
-69.7319,12.4066,1,2018141,0,0,0
-69.7319,12.4066,0,2018142,0,0,0
-69.7319,12.4066,1,2018143,0,0,0
-69.7319,12.4066,1,2018144,0,0,0
-69.7319,12.4066,1,2018145,0,0,0
-69.7319,12.4066,1,2018146,0,0,0
-69.7319,12.4066,1,2018147,0,0,0
-69.7319,12.4066,1,2018148,0,0,0
-69.7319,12.4066,1,2018149,0,0,0
-69.7319,12.4066,1,2018150,0,0,0
-69.7319,12.4066,1,2018151,0,0,0
-69.7319,12.4066,1,2018152,0,0,0
-69.7319,12.4066,1,2018153,0,0,0
-69.7319,12.4066,1,2018154,0,0,0
-69.7319,12.4066,1,2018155,0,0,0
-69.7319,12.4066,1,2018156,0,0,0
-69.7319,12.4066,1,2018157,0,0,0
-69.7319,12.4066,1,2018158,0,0,0
-69.7319,12.4066,1,2018159,0,0,0
-69.7319,12.4066,1,2018160,0,0,0
-69.7319,12.4066,1,2018161,0,0,0
-69.7319,12.4066,1,2018162,0,0,0
-69.7319,12.4066,1,2018163,0,0,0
-69.7319,12.4066,1,2018164,0,0,0
-69.7319,12.4066,1,2018165,0,0,0
-69.7319,12.4066,1,2018166,0,0,0
-69.7319,12.4066,1,2018167,0,0,0
-69.7319,12.4066,1,2018168,0,0,0
-69.7319,12.4066,1,2018169,0,0,0
-69.7319,12.4066,1,2018170,0,0,0
-69.7319,12.4066,1,2018171,0,0,0
-69.7319,12.4066,1,2018172,0,0,0
-69.7319,12.4066,1,2018173,0,0,0
-69.7319,12.4066,1,2018174,0,0,0
-69.7319,12.4066,1,2018175,0,0,0
-69.7319,12.4066,0,2018176,0,0,0
-69.7319,12.4066,1,2018177,0,0,0
-69.7319,12.4066,1,2018178,0,0,0
-69.7319,12.4066,1,2018179,0,0,0
-69.7319,12.4066,1,2018180,0,0,0
-69.7319,12.4066,1,2018181,0,0,0
-69.5175,11.7308,1,2018182,0,0,0
-69.5751,11.5911,1,2018183,0,0,0
-69.6061,11.3032,1,2018184,0,0,0
-69.661,10.9453,1,2018185,0,0,0
-69.6932,10.6129,1,2018186,0,0,0
-69.7424,9.9957,1,2018187,0,0,0
-69.7944,9.2811,1,2018188,0,0,0
-69.7567,8.5061,1,2018189,0,0,0
-69.7604,8.0188,1,2018190,0,0,0
-69.767,7.6683,1,2018191,0,0,0
-69.7995,7.1619,1,2018192,0,0,0
-69.7534,7.0835,1,2018193,0,0,0
-69.7692,6.692,1,2018194,0,0,0
-69.7692,6.692,1,2018195,0,0,0
-69.7692,6.692,1,2018196,0,0,0
-69.7692,6.692,1,2018197,0,0,0
-69.7692,6.692,1,2018198,0,0,0
-69.8547,4.6287,0,2018199,0,0,0
-69.9402,2.1163,1,2018200,0,0,0
-69.819,1.5117,1,2018201,0,0,0
-69.6445,0.9022,1,2018202,0,0,0
-69.6054,0.3198,1,2018203,0,0,0
-69.4271,-0.5092,1,2018204,0,0,0
-69.6939,-1.6549,1,2018205,0,0,0
-69.8511,-1.9794,1,2018206,0,0,0
-70.0498,-2.7166,1,2018207,0,0,0
-69.9726,-3.2834,1,2018208,0,0,0
-69.8953,-3.6329,1,2018209,0,0,0
-69.8381,-3.9456,1,2018210,0,0,0
-69.8615,-4.1772,1,2018211,0,0,0
-69.9063,-4.7352,1,2018212,0,0,0
-70.0056,-5.221,0,2018213,0,0,0
-70.1259,-5.6631,1,2018214,0,0,0
-70.2237,-6.0607,1,2018215,0,0,0
-70.2343,-6.3456,1,2018216,0,0,0
-70.2261,-6.5652,1,2018217,0,0,0
-70.2727,-6.8936,1,2018218,0,0,0
-70.3116,-7.0808,0,2018219,0,0,0
-70.3488,-7.2216,0,2018220,0,0,0
-70.3766,-7.3462,0,2018221,0,0,0
-70.3876,-7.4848,1,2018222,0,0,0
-70.3818,-7.6464,1,2018223,0,0,0
-70.3818,-7.6464,1,2018224,0,0,0
-70.3213,-7.8766,1,2018225,0,0,0
-70.3213,-7.8766,1,2018226,0,0,0
-70.3229,-8.0416,1,2018227,0,0,0
-70.3229,-8.0416,1,2018228,0,0,0
-70.3209,-8.2952,1,2018229,0,0,0
-70.3209,-8.2952,1,2018230,0,0,0
-70.3845,-8.8143,1,2018231,0,0,0
-70.5214,-9.0843,1,2018232,0,0,0
-70.6284,-9.8898,1,2018233,0,0,0
-70.6789,-10.4217,1,2018234,0,0,0
-70.7275,-10.787,1,2018235,0,0,0
-70.7275,-10.787,1,2018236,0,0,0
-70.8588,-11.4174,1,2018237,0,0,0
-70.8588,-11.4174,1,2018238,0,0,0
