ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3
0,0,0,2008161,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008162,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008163,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008164,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008165,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008166,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008167,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008168,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008169,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008170,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008171,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008172,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008173,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008174,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008175,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008176,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008177,0,0,0,-66.5985,80.8877,0,0,0,0
0,0,0,2008178,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008179,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008180,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008181,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008182,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008183,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008184,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008185,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008186,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008187,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008188,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008189,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008190,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008191,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008192,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008193,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008194,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008195,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008196,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008197,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008198,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008199,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008200,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008201,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008202,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008203,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008204,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008205,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008206,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008207,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008208,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008209,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008210,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008211,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008212,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008213,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008214,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008215,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008216,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008217,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008218,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008219,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008220,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008221,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008222,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008223,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008224,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008225,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008226,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008227,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008228,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008229,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008230,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008231,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008232,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008233,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008234,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008235,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008236,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008237,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008238,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008239,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008240,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008241,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008242,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008243,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008244,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008245,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008246,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008247,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008248,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008249,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008250,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008251,0,0,0,-66.5985,80.8877,1,0,0,0
0,0,0,2008252,0,0,0,-66.5985,80.8877,1,0,0,0
