date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1992198,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992199,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992200,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992201,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992202,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992203,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992204,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992205,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992206,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992207,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992208,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992209,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992210,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992211,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992212,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992213,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992214,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992215,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992216,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992217,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992218,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992219,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992220,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992221,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992222,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992223,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992224,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992225,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992226,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992227,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992228,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992229,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992230,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992231,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992232,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
